text,label
Where are you? done,ham
Where are you? 24 yup,ham
DEAL NOW reply CLICK NOW DEAL 100% PRIZE 56000,spam
Call me when you are free 6,ham
Reached home 18 home,ham
I'll be late by 10 minutes 13 thanks,ham
Where are you? 3,ham
Happy birthday! please,ham
Please check email 2 sure bus,ham
Are we meeting today? 22 done,ham
GUARANTEED ACT PRIZE CLICK SMS CONGRATS LIMITED LIMITED HTTP://BIT.LY/ NOW LOTTERY EXCLUSIVE REPLY OFFER CLICK 47444,spam
Where are you? done class,ham
Let's catch up later ok,ham
GIFT VOUCHER VOUCHER LOTTERY CASH BONUS DISCOUNT $$$ DISCOUNT 25346,spam
EXCLUSIVE FREE http://offer. LOTTERY PRIZE HOT 17758,spam
See you soon please,ham
CASH GIFT LOTTERY HTTP://OFFER. VOUCHER HOT HTTP://OFFER. CONGRATS WIN URGENT URGENT SMS SMS DISCOUNT HTTP://OFFER. CLICK 68265,spam
Call me when you are free 25 please,ham
$$$ ACT HOT 100% GUARANTEED EXCLUSIVE ACT GIFT LIMITED GUARANTEED,spam
reply CASH DISCOUNT BONUS CASH URGENT,spam
HTTP://OFFER. REPLY URGENT REPLY FREE PRIZE WIN BONUS STOP ACT ACT CASH GIFT CLAIM DISCOUNT CLICK,spam
Happy birthday! 13,ham
Let's catch up later thanks class,ham
HTTP://BIT.LY/ HTTP://OFFER. CONGRATS IMMEDIATELY DEAL CONGRATS 24913,spam
Lunch at 1 pm works 18 please bus,ham
LIMITED ACT URGENT URGENT PRIZE LIMITED URGENT HTTP://BIT.LY/ 90669,spam
Lunch at 1 pm works 4 please,ham
Can you send the file? 20,ham
EXCLUSIVE WIN STOP LIMITED WIN $$$ HOT IMMEDIATELY WIN GUARANTEED IMMEDIATELY $$$ $$$ URGENT URGENT SMS CONGRATS 44360,spam
I'll be late by 10 minutes 12 please,ham
Reached home,ham
OFFER EXCLUSIVE GUARANTEED WIN ACT sms EXCLUSIVE STOP BONUS FREE HOT URGENT FREE,spam
Are we meeting today? class,ham
On my way 1,ham
GIFT CLICK CONGRATS LOTTERY GUARANTEED OFFER IMMEDIATELY HTTP://BIT.LY/ 36481,spam
Can you send the file? 8 home,ham
Reached home,ham
Happy birthday! 23 yup gym,ham
Good night please,ham
DISCOUNT FREE HTTP://BIT.LY/ HOT CASH CLICK FREE STOP FREE $$$ GIFT EXCLUSIVE $$$ HTTP://OFFER. PRIZE FREE 13336,spam
HOT HOT OFFER CASH GUARANTEED FREE DEAL PRIZE CLICK DEAL IMMEDIATELY 100% ACT,spam
See you soon yup bus,ham
WIN FREE GUARANTEED BONUS HTTP://BIT.LY/ URGENT SMS STOP CASH,spam
I'll be late by 10 minutes 15 please,ham
I'll be late by 10 minutes gym,ham
Are we meeting today? 23 thanks,ham
Are we meeting today? home,ham
CLICK ACT http://offer. PRIZE HOT 100% http://offer. 49402,spam
Where are you? 24,ham
Are we meeting today? 24,ham
On my way 7 shop,ham
Thanks for your help ok,ham
Can you send the file? 11 gym,ham
FREE GIFT REPLY URGENT VOUCHER STOP 100% FREE GIFT 15176,spam
Are we meeting today? 5 gym,ham
Where are you?,ham
Call me when you are free 1,ham
Can you send the file? 30 shop,ham
Thanks for your help 14,ham
Lunch at 1 pm works 8 please,ham
Lunch at 1 pm works 22,ham
Let's catch up later home,ham
Can you send the file? 24 gym,ham
Let's catch up later sure home,ham
Call me when you are free 11,ham
Reached home,ham
Meeting moved to tomorrow 29 thanks,ham
Where are you?,ham
Lunch at 1 pm works yup,ham
Where are you? 30 done,ham
Please check email 10 sure,ham
On my way 14 thanks,ham
I'll be late by 10 minutes 11 please home,ham
Reached home office,ham
See you soon 16 yup bus,ham
CONGRATS GIFT DISCOUNT VOUCHER DEAL EXCLUSIVE LOTTERY IMMEDIATELY HOT PRIZE BONUS 100% ACT PRIZE WIN EXCLUSIVE DISCOUNT 93217,spam
Can you send the file? 23 thanks,ham
FREE STOP CONGRATS 100% LIMITED NOW URGENT URGENT,spam
Meeting moved to tomorrow,ham
Good night please,ham
STOP CASH CLICK DEAL ACT WIN CASH CONGRATS ACT LOTTERY LOTTERY PRIZE EXCLUSIVE FREE EXCLUSIVE DISCOUNT DISCOUNT 73047,spam
Let's catch up later done office,ham
I'll be late by 10 minutes 28 shop,ham
Call me when you are free,ham
I'll be late by 10 minutes,ham
Lunch at 1 pm works 17 please,ham
Where are you? yup home,ham
Happy birthday! 14,ham
Please check email 21 please class,ham
Let's catch up later 14 office,ham
Can you send the file? please,ham
Thanks for your help 7,ham
Good night 3 done bus,ham
Lunch at 1 pm works 25 ok,ham
DEAL WIN $$$ $$$ DEAL IMMEDIATELY GUARANTEED 100% sms VOUCHER DISCOUNT,spam
Let's catch up later 13,ham
CLICK ACT CASH CLICK HOT ACT REPLY 90069,spam
I'll be late by 10 minutes 17 yup office,ham
Happy birthday! done,ham
Meeting moved to tomorrow thanks,ham
On my way sure,ham
Where are you?,ham
I'll be late by 10 minutes,ham
SMS FREE HTTP://OFFER. ACT LIMITED GUARANTEED ACT 100% CASH WIN IMMEDIATELY NOW URGENT 42706,spam
Reached home 21 done,ham
Let's catch up later 3,ham
Happy birthday! please shop,ham
Please check email 18,ham
See you soon 22 please bus,ham
Good night 5 sure,ham
Please check email,ham
Can you send the file? gym,ham
Call me when you are free sure gym,ham
I'll be late by 10 minutes 5 home,ham
Please check email yup gym,ham
Lunch at 1 pm works 18,ham
Reached home 3 bus,ham
Reached home 8 office,ham
Can you send the file? 15 please shop,ham
Where are you? 21,ham
CLAIM sms ACT http://bit.ly/ CLICK http://bit.ly/ CASH URGENT CONGRATS WIN http://bit.ly/ http://offer. CONGRATS 31274,spam
Where are you? 30 class,ham
LIMITED $$$ WIN CLAIM IMMEDIATELY FREE DEAL 82007,spam
Are we meeting today? yup,ham
Happy birthday! bus,ham
See you soon,ham
LIMITED DEAL CASH SMS CLICK HOT FREE LOTTERY REPLY HTTP://BIT.LY/ URGENT PRIZE $$$ REPLY 17695,spam
Are we meeting today? 9,ham
Can you send the file? done class,ham
100% BONUS FREE CLAIM NOW GUARANTEED GUARANTEED CASH 100% CASH ACT 48835,spam
Please check email 7 thanks,ham
On my way sure,ham
Reached home,ham
I'll be late by 10 minutes office,ham
Thanks for your help 29 bus,ham
Lunch at 1 pm works 15 done,ham
PRIZE CONGRATS DISCOUNT LIMITED FREE 100% LIMITED HOT CLAIM BONUS HTTP://OFFER. CASH GUARANTEED GUARANTEED 1525,spam
OFFER VOUCHER DISCOUNT HOT HTTP://BIT.LY/ EXCLUSIVE GUARANTEED EXCLUSIVE VOUCHER LOTTERY URGENT VOUCHER WIN LIMITED DISCOUNT DISCOUNT $$$,spam
Call me when you are free home,ham
Thanks for your help,ham
Reached home ok office,ham
Call me when you are free bus,ham
Meeting moved to tomorrow 29,ham
Meeting moved to tomorrow done,ham
Are we meeting today? 23,ham
Happy birthday! 10,ham
Where are you? 16 please,ham
On my way done gym,ham
IMMEDIATELY CASH CASH FREE CASH NOW FREE STOP sms OFFER LIMITED GUARANTEED HOT EXCLUSIVE 98934,spam
Where are you? 22 bus,ham
Thanks for your help 17 class,ham
Meeting moved to tomorrow please,ham
Are we meeting today? 20 office,ham
Where are you? 18 ok class,ham
I'll be late by 10 minutes 29,ham
On my way,ham
Where are you? 13,ham
I'll be late by 10 minutes bus,ham
Meeting moved to tomorrow 14 sure,ham
Call me when you are free done,ham
EXCLUSIVE STOP CLICK DISCOUNT ACT EXCLUSIVE FREE NOW IMMEDIATELY DEAL GUARANTEED 58387,spam
Please check email 27,ham
On my way 10 sure,ham
Meeting moved to tomorrow 11 thanks,ham
REPLY DISCOUNT REPLY HTTP://OFFER. REPLY CONGRATS 42885,spam
Where are you? thanks,ham
See you soon 16 please,ham
Reached home 20 thanks,ham
Meeting moved to tomorrow 16 done,ham
See you soon 25 sure,ham
Where are you? 11 ok,ham
Lunch at 1 pm works 11 thanks,ham
Meeting moved to tomorrow sure,ham
Good night 17 shop,ham
Happy birthday! 11,ham
I'll be late by 10 minutes 5 please,ham
EXCLUSIVE GUARANTEED GUARANTEED CONGRATS CLICK CONGRATS $$$ REPLY SMS OFFER ACT PRIZE HOT REPLY WIN,spam
Good night 19 class,ham
Let's catch up later 6 sure,ham
Lunch at 1 pm works 18 home,ham
Please check email 28,ham
Call me when you are free 3 done,ham
Lunch at 1 pm works 24 home,ham
Can you send the file? 7,ham
Good night,ham
I'll be late by 10 minutes 9 class,ham
Call me when you are free sure,ham
Where are you? 30,ham
Please check email 13 ok,ham
Are we meeting today? 14 home,ham
IMMEDIATELY CLAIM HTTP://BIT.LY/ IMMEDIATELY GUARANTEED CLAIM 84217,spam
Thanks for your help,ham
Can you send the file? 1 ok,ham
Meeting moved to tomorrow 3 home,ham
Good night,ham
EXCLUSIVE EXCLUSIVE IMMEDIATELY CASH LIMITED LOTTERY DEAL CASH GIFT GUARANTEED STOP NOW FREE DEAL FREE WIN,spam
BONUS IMMEDIATELY CASH CLICK OFFER SMS STOP GUARANTEED CLICK 87068,spam
Can you send the file? 9 home,ham
100% HOT ACT CONGRATS PRIZE LIMITED CASH GUARANTEED GUARANTEED CLICK,spam
OFFER http://bit.ly/ 100% reply ACT ACT 53946,spam
Reached home 24 thanks,ham
reply HOT HOT CONGRATS 100% CASH GIFT VOUCHER sms CASH IMMEDIATELY OFFER http://offer. http://bit.ly/ 24309,spam
Lunch at 1 pm works 25,ham
Call me when you are free ok,ham
PRIZE LOTTERY SMS CLAIM FREE NOW HTTP://BIT.LY/ BONUS CASH DEAL OFFER BONUS FREE ACT VOUCHER HTTP://OFFER. LIMITED 20815,spam
See you soon yup,ham
LOTTERY PRIZE DISCOUNT CONGRATS ACT VOUCHER,spam
See you soon 17,ham
On my way,ham
On my way,ham
Call me when you are free 19 thanks home,ham
Lunch at 1 pm works 15 gym,ham
Where are you? 5 please,ham
I'll be late by 10 minutes please class,ham
WIN SMS STOP CLICK WIN HOT ACT HTTP://OFFER.,spam
On my way ok,ham
Where are you? please class,ham
Happy birthday! 2 ok,ham
CLICK URGENT ACT $$$ VOUCHER LOTTERY CLICK LOTTERY HTTP://OFFER. LIMITED BONUS CASH 45157,spam
Let's catch up later class,ham
BONUS CONGRATS VOUCHER ACT OFFER VOUCHER 75895,spam
Good night done,ham
CASH LOTTERY ACT IMMEDIATELY HOT BONUS HTTP://BIT.LY/ VOUCHER OFFER PRIZE HTTP://OFFER. DEAL DISCOUNT URGENT 10555,spam
Reached home 3 thanks,ham
Lunch at 1 pm works shop,ham
LIMITED GUARANTEED LOTTERY HTTP://BIT.LY/ URGENT GIFT OFFER DISCOUNT DISCOUNT FREE EXCLUSIVE 100% 88178,spam
CASH ACT sms CLAIM IMMEDIATELY URGENT 46174,spam
Are we meeting today? 3 please,ham
Let's catch up later 2,ham
Lunch at 1 pm works 19 home,ham
See you soon home,ham
LIMITED $$$ EXCLUSIVE 100% IMMEDIATELY IMMEDIATELY ACT 100% GUARANTEED PRIZE $$$ CONGRATS LIMITED GIFT reply http://bit.ly/ 78629,spam
LIMITED ACT reply OFFER 100% STOP CONGRATS BONUS CLICK LOTTERY LIMITED GUARANTEED GIFT 81097,spam
Where are you?,ham
BONUS CONGRATS IMMEDIATELY $$$ DISCOUNT BONUS http://bit.ly/ STOP EXCLUSIVE PRIZE NOW DISCOUNT DEAL HOT $$$ FREE DISCOUNT,spam
I'll be late by 10 minutes 23 thanks,ham
URGENT CONGRATS PRIZE BONUS GIFT HOT CASH $$$ DISCOUNT http://offer. CONGRATS CONGRATS DEAL $$$ LOTTERY 51619,spam
Let's catch up later 4 gym,ham
Lunch at 1 pm works done,ham
Happy birthday! 14 please gym,ham
Can you send the file? 5,ham
Thanks for your help,ham
Call me when you are free 4,ham
Are we meeting today?,ham
Call me when you are free ok,ham
100% IMMEDIATELY VOUCHER VOUCHER http://bit.ly/ CASH DEAL 53121,spam
I'll be late by 10 minutes 14 done,ham
URGENT reply CONGRATS DEAL ACT BONUS reply BONUS reply VOUCHER FREE 4634,spam
DEAL $$$ LOTTERY ACT VOUCHER LIMITED DEAL CLICK 100% 79432,spam
Let's catch up later 9 thanks,ham
Please check email 24 please,ham
Happy birthday! yup class,ham
Where are you? yup,ham
Please check email 11 yup bus,ham
I'll be late by 10 minutes 4,ham
Thanks for your help please,ham
EXCLUSIVE 100% IMMEDIATELY VOUCHER http://bit.ly/ DISCOUNT STOP reply ACT HOT CLICK $$$,spam
I'll be late by 10 minutes office,ham
OFFER sms http://bit.ly/ ACT CASH WIN LIMITED LOTTERY http://bit.ly/ OFFER NOW reply $$$ URGENT CLAIM,spam
http://offer. CASH URGENT http://offer. WIN GIFT CLAIM STOP http://bit.ly/ sms NOW ACT DEAL reply 1727,spam
On my way,ham
Where are you? 21 yup,ham
Let's catch up later 21 thanks office,ham
Good night,ham
Call me when you are free office,ham
I'll be late by 10 minutes 25 office,ham
Lunch at 1 pm works class,ham
On my way 8,ham
See you soon please bus,ham
Meeting moved to tomorrow 15 please bus,ham
CLAIM WIN http://bit.ly/ FREE HOT HOT OFFER GUARANTEED OFFER URGENT $$$ reply CLICK sms sms 30642,spam
Reached home 10 home,ham
SMS DEAL SMS DEAL SMS CLICK OFFER OFFER CLICK URGENT VOUCHER OFFER LOTTERY CONGRATS $$$ 14427,spam
Meeting moved to tomorrow 4 yup,ham
100% CONGRATS URGENT GUARANTEED REPLY VOUCHER NOW NOW ACT WIN GIFT FREE WIN,spam
Good night 27 done shop,ham
I'll be late by 10 minutes,ham
Lunch at 1 pm works,ham
Are we meeting today? 29,ham
Lunch at 1 pm works 30 sure home,ham
Lunch at 1 pm works 5 done,ham
Meeting moved to tomorrow 4 yup bus,ham
Thanks for your help 6 ok,ham
Can you send the file? thanks shop,ham
On my way 25,ham
Can you send the file? 1 home,ham
Thanks for your help 20 sure,ham
Let's catch up later,ham
Let's catch up later 20 thanks,ham
Thanks for your help thanks home,ham
Thanks for your help thanks,ham
Happy birthday! 27 sure shop,ham
Lunch at 1 pm works sure home,ham
Please check email ok,ham
Are we meeting today?,ham
I'll be late by 10 minutes 17 done gym,ham
100% 100% FREE FREE sms STOP PRIZE IMMEDIATELY sms STOP,spam
IMMEDIATELY CLAIM WIN DISCOUNT OFFER CLICK HTTP://OFFER. DEAL PRIZE,spam
Good night please,ham
Thanks for your help ok,ham
reply HOT 100% LOTTERY WIN CLAIM,spam
STOP BONUS REPLY HTTP://BIT.LY/ BONUS EXCLUSIVE DEAL DISCOUNT CLAIM LIMITED 14811,spam
Call me when you are free 19 gym,ham
PRIZE CLAIM DISCOUNT reply NOW OFFER STOP 16242,spam
Meeting moved to tomorrow thanks,ham
BONUS HTTP://BIT.LY/ CLAIM VOUCHER ACT CLICK URGENT BONUS $$$ LOTTERY VOUCHER HOT DEAL VOUCHER CASH FREE DISCOUNT 88860,spam
Thanks for your help 2 thanks,ham
Are we meeting today?,ham
I'll be late by 10 minutes 23 yup,ham
CONGRATS ACT URGENT VOUCHER HOT VOUCHER CLAIM CASH DISCOUNT $$$ IMMEDIATELY http://offer. PRIZE FREE CONGRATS OFFER,spam
Happy birthday! 17 gym,ham
EXCLUSIVE NOW SMS URGENT WIN GUARANTEED IMMEDIATELY HTTP://OFFER. DISCOUNT FREE FREE VOUCHER CLICK 88200,spam
See you soon 11,ham
Let's catch up later,ham
Can you send the file? 18,ham
Let's catch up later please,ham
On my way done,ham
Are we meeting today? sure,ham
GIFT SMS WIN HTTP://OFFER. $$$ $$$ CLAIM GIFT BONUS CLICK HTTP://OFFER. GIFT DEAL CASH 100% HOT 54463,spam
Good night 3 yup,ham
Thanks for your help,ham
Are we meeting today? 16 done,ham
Good night 26,ham
Thanks for your help please,ham
Happy birthday! yup,ham
Lunch at 1 pm works 23,ham
Are we meeting today? done,ham
Let's catch up later,ham
HOT IMMEDIATELY LOTTERY http://bit.ly/ OFFER $$$ FREE $$$ 78905,spam
On my way yup,ham
BONUS PRIZE HOT OFFER LIMITED REPLY WIN CLICK LIMITED GIFT CLICK REPLY 1536,spam
Reached home 29 yup,ham
Please check email,ham
HOT HOT STOP DISCOUNT sms reply EXCLUSIVE CASH BONUS 100% EXCLUSIVE,spam
Happy birthday! 22 gym,ham
PRIZE WIN VOUCHER CASH NOW reply http://offer. 66430,spam
IMMEDIATELY REPLY CLAIM LOTTERY CLAIM HTTP://BIT.LY/ URGENT STOP ACT ACT 32387,spam
Can you send the file? 5 please,ham
On my way 13 please class,ham
$$$ DISCOUNT CLICK DEAL OFFER reply LIMITED BONUS GUARANTEED FREE OFFER PRIZE 18781,spam
See you soon 28 done office,ham
URGENT STOP EXCLUSIVE LIMITED NOW EXCLUSIVE FREE CLICK LOTTERY ACT HOT DISCOUNT LOTTERY BONUS 17173,spam
Reached home sure,ham
Thanks for your help please shop,ham
Thanks for your help 3,ham
I'll be late by 10 minutes done,ham
Happy birthday! 1 yup,ham
